monthyear,bin_above_pra_cutoff,se,diff_in_diff_estimator,month,year,plot_diff_in_diff_estimator,high_se,low_se,industry_excluded
4,0,5.4368587,-4.7573042,4,1933,-4.7573042,6.1164131,-15.631021,216
4,1,12.841924,-30.395493,4,1933,-30.395493,-4.7116451,-56.079338,216
5,0,8.1706991,5.1654329,5,1933,5.1654329,21.506832,-11.175965,216
5,1,7.4490256,-10.825941,5,1933,-10.825941,4.0721102,-25.723991,216
6,0,5.6812382,-2.9626007,6,1933,-2.9626007,8.3998756,-14.325077,216
6,1,5.8971095,-1.0757798,6,1933,-1.0757798,10.718439,-12.869999,216
7,0,0,0,7,1933,0,0,0,216
7,1,0,0,7,1933,0,0,0,216
8,0,8.0662766,30.327986,8,1933,30.327986,46.460541,14.195433,216
8,1,9.1318779,-10.986621,8,1933,-10.986621,7.2771349,-29.250378,216
9,0,14.443069,35.624859,9,1933,35.624859,64.511002,6.7387199,216
9,1,11.345076,-11.01432,9,1933,-11.01432,11.675831,-33.704472,216
10,0,14.06503,44.695663,10,1933,44.695663,72.825722,16.565603,216
10,1,10.161485,-28.428888,10,1933,-28.428888,-8.1059189,-48.751858,216
