monthyear,bin_above_pra_cutoff,se,diff_in_diff_estimator,month,year,plot_diff_in_diff_estimator,high_se,low_se,industry_excluded
4,0,5.2775788,-10.106565,4,1933,-10.106565,.44859314,-20.661722,0
4,1,17.485397,-31.300604,4,1933,-31.300604,3.6701908,-66.2714,0
5,0,6.5876217,.12412655,5,1933,.12412655,13.29937,-13.051117,0
5,1,7.7573838,-12.195455,5,1933,-12.195455,3.319313,-27.710222,0
6,0,5.8078647,-6.679101,6,1933,-6.679101,4.9366283,-18.29483,0
6,1,6.5465274,3.7219918,6,1933,3.7219918,16.815046,-9.3710632,0
7,0,0,0,7,1933,0,0,0,0
7,1,0,0,7,1933,0,0,0,0
8,0,8.6686277,33.536251,8,1933,33.536251,50.873505,16.198996,0
8,1,10.558353,-10.648614,8,1933,-10.648614,10.468093,-31.76532,0
9,0,11.798238,33.373901,9,1933,33.373901,56.970375,9.7774258,0
9,1,8.8044739,-15.634167,9,1933,-15.634167,1.974781,-33.243114,0
10,0,12.218523,43.054253,10,1933,43.054253,67.491302,18.617207,0
10,1,5.5432138,-31.090668,10,1933,-31.090668,-20.00424,-42.177094,0
